Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,EvolvedLookerUp2_2_2,2.9584,0.7055608952380953,48.0,1.0,0.6401251714285715,0.06543572380952381,0.18502815428571423,0.10941095047619048,0.8370488293,0.4790596378,0.50297443863,0.797963109651
1,Evolved HMM 5,2.95445714286,0.7208202533333333,41.0,1.0,0.6782873161904762,0.04253293714285712,0.1601444685714285,0.11903527809523809,0.997229780278,0.4793177769,0.0137541893602,0.19705548552
2,Evolved FSM 16,2.95352857143,0.6812822057142857,57.0,1.0,0.6025997866666666,0.07868241904761904,0.20646191809523812,0.1122558761904762,0.817879053759,0.577538524704,0.489283337397,0.308077562497
3,PSO Gambler 2_2_2,2.94492857143,0.6679093314285715,41.0,1.0,0.6001254990476189,0.06778383238095238,0.20153467047619045,0.13055599809523816,0.864619792311,0.455537942943,0.502571155839,0.382665563697
4,Evolved ANN 5,2.9198,0.6861557942857143,43.0,1.0,0.6727257600000001,0.013430034285714279,0.14491388380952375,0.16893032190476184,0.955249059326,0.737415931596,0.129891793331,0
5,Evolved FSM 16 Noise 05,2.91965714286,0.7050941257142858,40.0,1.0,0.6820596342857141,0.023034491428571422,0.14446550285714294,0.15044037142857153,0.977545935541,0.530724008035,0.407490193502,0.0791065419694
6,PSO Gambler 1_1_1,2.91677142857,0.6875772361904762,45.0,1.0,0.6547510476190477,0.032826188571428556,0.15886162666666664,0.1535611371428571,1.0,0.340124199675,0,0.128448179222
7,Evolved ANN,2.91505714286,0.6808313809523809,43.0,1.0,0.6666835599999998,0.01414782095238095,0.14699682285714288,0.17217179619047623,0.973212562407,0.702369744391,0.317237462495,0
8,Evolved FSM 4,2.91017142857,0.739832939047619,37.0,1.0,0.6487954723809523,0.09103746666666666,0.17572280761904768,0.08444425333333336,0.923829949546,0.426433143493,0,0.754503913299
9,PSO Gambler Mem1,2.9088,0.7103177676190476,44.0,1.0,0.6718383504761906,0.03847941714285714,0.1490324742857142,0.14064975809523814,1.0,0.521596039577,0,0.120403349504
10,Evolved ANN 5 Noise 05,2.87045714286,0.742090558095238,34.0,1.0,0.7126278533333332,0.029462704761904757,0.11707772761904764,0.14083171428571428,0.973482568797,0.836673065835,0.492455217875,0.147764801856
11,"DBS: 0.75, 3, 4, 3, 5",2.85751428571,0.7251785752380953,32.0,1.0,0.6981377904761906,0.02704078476190476,0.12195267619047619,0.1528687485714286,0.982013735721,0.784409999608,0.298744797492,0.130969767558
12,Winner12,2.85107142857,0.6775265904761905,40.0,1.0,0.6374900076190477,0.04003658285714284,0.15361618857142853,0.16885722095238095,1.0,0.398168427271,0,0.536737545222
13,"Omega TFT: 3, 8",2.8466,0.7139612209523809,35.0,1.0,0.7017665390476191,0.012194681904761903,0.11240181714285723,0.1736369619047619,0.999723867311,0.183392158182,0.556933311796,0.00959594943786
14,Fool Me Once,2.845,0.606607318095238,50.0,1.0,0.6021274419047619,0.004479876190476192,0.16104263238095234,0.23235004952380955,1.0,0.575586629594,0,0
15,Gradual,2.82074285714,0.7873472380952381,36.0,1.0,0.746798339047619,0.04054889904761901,0.09151843428571438,0.1211343276190476,1.0,0.366420613331,0.371509638988,0.255191568228
16,PSO Gambler 2_2_2 Noise 05,2.82037142857,0.7093761333333334,40.0,1.0,0.6439165104761906,0.06545962285714285,0.1488438304761905,0.14178003619047616,0.814991825519,0.532433897069,0.691539204888,0.376788611568
17,Meta Hunter: 6 players,2.79731428571,0.609216038095238,52.0,1.0,0.5742814000000003,0.03493463809523808,0.17038936190476184,0.22039459999999997,0.895333164246,0.766814495114,0.160761758089,0.115885057253
18,Forgetful Fool Me Once: 0.05,2.7938,0.7488507066666666,45.0,1.0,0.7169289485714285,0.03192175809523808,0.09784932952380954,0.1532999638095239,1.0,0.637034250601,0.0500841300063,0.0500874044947
19,MEM2,2.7886,0.56555052,60.0,1.0,0.5622194476190476,0.0033310723809523825,0.1662360361904762,0.2682134438095238,0.996550117,0.231633578443,0.273235379223,0
20,Spiteful Tit For Tat,2.78362857143,0.63267484,42.0,1.0,0.5926740514285714,0.040000788571428546,0.15875155238095232,0.20857360761904756,1.0,0,0.671830812174,0
21,EvolvedLookerUp1_1_1,2.76827142857,0.59913376,52.0,1.0,0.5549116666666666,0.044222093333333316,0.17367440952380953,0.22719183047619043,0.932420144592,0,0.773175371674,0
22,Revised Downing: True,2.7635,0.7631848647619047,25.0,1.0,0.7157407085714287,0.047444156190476164,0.09186582285714283,0.14494931238095232,0.997200846912,0.782143832362,0.0174256027121,0.130573300623
23,TF3,2.75725714286,0.5494834780952381,59.0,1.0,0.5434935599999998,0.005989918095238094,0.16865869142857146,0.2818578304761905,0.924116460436,0.598396432006,0.3552500247,0.0174924138629
24,Grudger,2.75442857143,0.5301867047619048,62.0,1.0,0.5277752076190476,0.002411497142857145,0.17505941904761907,0.2947538761904761,1.0,0,0,0
25,Level Punisher,2.71954285714,0.7251041885714286,38.0,1.0,0.700157761904762,0.02494642666666665,0.0844564933333333,0.1904393180952381,0.987408276344,0.878135407993,0.119594871831,0
26,Davis: 10,2.71811428571,0.5465943371428571,56.0,1.0,0.5355217161904764,0.011072620952380945,0.16443440952380942,0.28897125333333323,0.970449280042,0.847974592227,0,0
27,Shubik,2.70394285714,0.6734295942857143,45.0,1.0,0.6522125885714285,0.021217005714285708,0.10385859047619059,0.22271181523809533,1.0,0,0.474168466292,0
28,"Limited Retaliate 3: 0.05, 20",2.68927142857,0.6067763961904762,57.0,1.0,0.5881922761904763,0.01858411999999999,0.13187053333333337,0.2613530704761905,0.918328890063,0,0.0692488138765,0.0569802876334
29,"ZD-GTFT-2: 0.25, 0.5",2.68871428571,0.8614911790476191,0.0,1.0,0.7769793828571427,0.08451179619047618,0.05148272190476188,0.08702609904761906,1.0,0.12496968344,1.0,0.250147019136
30,Soft Joss: 0.9,2.67817142857,0.8358483942857143,0.0,1.0,0.7619041638095239,0.0739442304761905,0.05473129333333335,0.10942031238095237,1.0,0.10030714525,1.0,0.100025810738
31,"Limited Retaliate 2: 0.08, 15",2.67037142857,0.6186238666666667,58.0,1.0,0.593404259047619,0.025219607619047606,0.12615399238095243,0.25522214095238094,0.934567807929,0,0.0820351380974,0.0683709052361
32,Math Constant Hunter,2.67005714286,0.7236761295238096,41.0,1.0,0.6072878933333333,0.11638823619047621,0.1429764152380953,0.13334745523809524,0.883289544243,0.843698328993,0.117403794371,0.22349096586
33,GTFT: 0.1,2.66937142857,0.8357434571428571,0.0,1.0,0.7617944057142857,0.07394905142857144,0.05474417333333332,0.10951236952380955,1.0,0.0999375686642,1.0,0.100081370147
34,Soft Grudger,2.66854285714,0.8015421428571429,34.0,1.0,0.7221743219047618,0.07936782095238096,0.07518047047619049,0.12327738666666675,1.0,0.421058125942,0.316644804521,0.313847917663
35,"General Soft Grudger: n=1,d=4,c=2",2.66848571429,0.8015374438095239,34.0,1.0,0.7221695523809523,0.07936789142857142,0.07518549333333334,0.12327706285714292,1.0,0.421011282659,0.316782233642,0.313749027981
36,GTFT: 0.3,2.6654,0.8868604495238095,0.0,1.0,0.7966808095238094,0.09017964,0.040834308571428564,0.0723052419047619,1.0,0.299901675525,1.0,0.300375853092
37,Inverse Punisher,2.66494285714,0.6144689466666666,55.0,1.0,0.6016443314285714,0.012824615238095227,0.11855397904761907,0.2669770742857142,1.0,0,0.237870242784,0
38,Forgiver,2.66217142857,0.60994336,56.0,1.0,0.6012132647619047,0.008730095238095233,0.11763178476190478,0.2724248552380952,1.0,0.545890504797,0.0655250139186,0
39,Retaliate 2: 0.08,2.66185714286,0.6074740742857143,62.0,1.0,0.5966776228571429,0.010796451428571417,0.1191006476190476,0.2734252780952381,1.0,0,0.0706956626684,0
40,Retaliate 3: 0.05,2.66114285714,0.5869625523809524,62.0,1.0,0.5791616628571429,0.0078008895238095175,0.12736237904761902,0.28567506857142855,1.0,0,0.0442840659368,0
41,GTFT: 0.33,2.66071428571,0.8930090438095238,0.0,1.0,0.8000150114285713,0.0929940323809524,0.03867004380952382,0.06832091238095238,1.0,0.333070853831,1.0,0.333201581919
42,"ZD-GEN-2: 0.125, 0.5, 3",2.66051428571,0.8555614895238095,7.0,1.0,0.7755127504761904,0.08004873904761914,0.04334126285714286,0.10109724761904762,1.0,0.562341907574,0.49960574961,0.125063190768
43,"Limited Retaliate: 0.1, 20",2.65891428571,0.6190127485714285,57.0,1.0,0.5961637771428571,0.022848971428571414,0.121204620952381,0.2597826304761905,0.970550068619,0,0.0866985788745,0.0425550784733
44,Retaliate: 0.1,2.65242857143,0.6101655447619048,62.0,1.0,0.59712252,0.013043024761904748,0.11693253904761913,0.2729019161904762,1.0,0,0.0899512864561,0
45,GrudgerAlternator,2.64504285714,0.764288419047619,30.0,1.0,0.6201279847619048,0.1441604342857143,0.13738671809523811,0.0983248628571429,0.753937819091,0,1.0,1.0
46,Forgetful Grudger,2.64262857143,0.615685798095238,62.0,1.0,0.6028149199999999,0.012870878095238077,0.11194500380952385,0.2723691980952382,1.0,0,0.104145333353,0
47,Once Bitten,2.63814285714,0.7837809580952381,34.0,1.0,0.7347528628571429,0.049028095238095204,0.054188173333333305,0.1620308685714286,1.0,0.719102788916,0.0916552226906,0.0562932752715
48,Eatherley,2.63654285714,0.8883819638095238,0.0,1.0,0.8083782190476189,0.08000374476190482,0.025291963809523806,0.08632607238095241,1.0,0.508700030404,1.0,0.404536833824
49,Resurrection,2.62465714286,0.7421235980952381,13.0,1.0,0.6748836438095237,0.06723995428571433,0.0846607371428572,0.17321566476190473,1.0,0,0.87607394471,0
50,Firm But Fair,2.6242,0.8523379885714286,0.0,1.0,0.7295472133333331,0.12279077523809531,0.07099652571428576,0.0766654857142857,1.0,0,1.0,0.666296084476
51,ShortMem,2.62365714286,0.8151492552380952,9.0,1.0,0.7538117733333334,0.06133748190476191,0.0438732838095238,0.14097746095238095,0.999292946673,0.684263086608,0.814489512499,0
52,Adaptive Pavlov 2011,2.62028571429,0.7312375523809523,43.0,1.0,0.6935258647619048,0.037711687619047585,0.06660726666666669,0.20215518095238094,0.984622891758,0.322295783831,0.580443960725,0.0228767455038
53,Adaptive Pavlov 2006,2.61954285714,0.7120008361904762,46.0,1.0,0.6788960876190476,0.03310474857142854,0.07115355619047617,0.21684560761904753,0.976079230408,0.245397894827,0.579047216863,0.0582777224706
54,Doubler,2.61908571429,0.8080495771428572,0.0,1.0,0.7308328895238094,0.07721668761904762,0.05772776000000002,0.13422266285714285,1.0,0.649274377402,1.0,0
55,Grofman,2.61851428571,0.8872323276190476,15.0,1.0,0.7749393085714287,0.11229301904761906,0.044857201904761904,0.06791047047619049,1.0,0.414053966326,0.483140495607,0.965645754737
56,VeryBad,2.61657142857,0.8291409352380953,13.0,1.0,0.7670190628571429,0.06212187238095235,0.03488603428571427,0.13597303047619044,0.994525939785,0.765598850312,0.730718667534,0
57,Forgiving Tit For Tat,2.61554285714,0.777002300952381,0.0,1.0,0.7019500780952382,0.07505222285714291,0.07132933333333338,0.1516683657142857,1.0,0.316511549535,1.0,0
58,Tit For Tat,2.61308571429,0.7700238742857143,0.0,1.0,0.6949258685714285,0.07509800571428576,0.0739818304761905,0.15599429523809524,1.0,0,1.0,0
59,Contrite Tit For Tat,2.61254285714,0.76996852,0.0,1.0,0.6948341866666666,0.07513433333333336,0.07401796380952387,0.15601351619047615,1.0,0,1.0,0
60,Adaptive Tit For Tat: 0.5,2.61208571429,0.7700146323809524,0.0,1.0,0.6949296990476189,0.07508493333333335,0.07389118857142861,0.15609417904761905,1.0,0.0151029937785,1.0,0
